mean_test_score,max_depth,min_samples_split,n_estimators
,11,1,50
,11,1,89
,11,1,129
,11,1,168
,11,1,208
,11,1,247
,11,1,287
,11,1,327
,11,1,366
,11,1,406
,11,1,445
,11,1,485
,11,1,525
,11,1,564
,11,1,604
,11,1,643
,11,1,683
,11,1,722
,11,1,762
,11,1,802
,11,1,841
,11,1,881
,11,1,920
,11,1,960
,11,1,1000
0.8397849462365592,11,2,50
0.8548854604955587,11,2,89
0.8418887330528285,11,2,129
0.8418653576437588,11,2,168
0.8375409069658719,11,2,208
0.8418419822346891,11,2,247
0.8418419822346891,11,2,287
0.8396914446002806,11,2,327
0.8396914446002806,11,2,366
0.8353436185133241,11,2,406
0.8418419822346891,11,2,445
0.8396914446002806,11,2,485
0.8396680691912108,11,2,525
0.8396680691912108,11,2,564
0.8418186068256194,11,2,604
0.8396680691912108,11,2,643
0.8396914446002806,11,2,683
0.8396914446002806,11,2,722
0.8440392706872369,11,2,762
0.8418653576437588,11,2,802
0.8396914446002806,11,2,841
0.8418653576437588,11,2,881
0.8462131837307153,11,2,920
0.8440392706872369,11,2,960
0.8440392706872369,11,2,1000
0.8396914446002806,11,3,50
0.8418419822346891,11,3,89
0.8461898083216457,11,3,129
0.8461430575035063,11,3,168
0.843969144460028,11,3,208
0.8461430575035063,11,3,247
0.8439925198690977,11,3,287
0.8418653576437588,11,3,327
0.8418653576437588,11,3,366
0.8418653576437588,11,3,406
0.8353903693314633,11,3,445
0.8418887330528285,11,3,485
0.8396914446002806,11,3,525
0.8375409069658719,11,3,564
0.83971482000935,11,3,604
0.8418653576437588,11,3,643
0.8353903693314633,11,3,683
0.83971482000935,11,3,722
0.83971482000935,11,3,762
0.83971482000935,11,3,802
0.8418653576437588,11,3,841
0.8418653576437588,11,3,881
0.8418653576437588,11,3,920
0.8418653576437588,11,3,960
0.8440392706872369,11,3,1000
0.8419121084618981,11,4,50
0.8418419822346891,11,4,89
0.8353669939223938,11,4,129
0.8353202431042543,11,4,168
0.8396680691912108,11,4,208
0.8353669939223936,11,4,247
0.8375175315568022,11,4,287
0.8353669939223936,11,4,327
0.8353669939223936,11,4,366
0.8331697054698457,11,4,406
0.8353669939223938,11,4,445
0.8353669939223938,11,4,485
0.8331930808789154,11,4,525
0.8353436185133241,11,4,564
0.8353202431042543,11,4,604
0.8353436185133241,11,4,643
0.8353436185133241,11,4,683
0.8331930808789153,11,4,722
0.8353669939223936,11,4,762
0.8353669939223936,11,4,802
0.8375409069658719,11,4,841
0.8353669939223936,11,4,881
0.8331930808789153,11,4,920
0.8331930808789153,11,4,960
0.8331930808789153,11,4,1000
0.8180925666199158,11,5,50
0.8224170172978027,11,5,89
0.8310191678354372,11,5,129
0.8245441795231416,11,5,168
0.8288686302010285,11,5,208
0.8266947171575503,11,5,247
0.8310425432445067,11,5,287
0.8310425432445067,11,5,327
0.8223702664796633,11,5,366
0.8245208041140719,11,5,406
0.8223702664796635,11,5,445
0.8266947171575503,11,5,485
0.8245208041140719,11,5,525
0.8223468910705938,11,5,564
0.8266713417484806,11,5,604
0.8223702664796633,11,5,643
0.8245208041140721,11,5,683
0.8223702664796635,11,5,722
0.8245441795231419,11,5,762
0.8245441795231419,11,5,802
0.8223702664796635,11,5,841
0.8266947171575503,11,5,881
0.8266947171575503,11,5,920
0.8288686302010285,11,5,960
0.8288686302010285,11,5,1000
0.8050257129499766,11,6,50
0.8223702664796633,11,6,89
0.8310425432445069,11,6,129
0.822393641888733,11,6,168
0.8288452547919588,11,6,208
0.8310191678354372,11,6,247
0.8288686302010285,11,6,287
0.8309957924263675,11,6,327
0.8353436185133241,11,6,366
0.8288452547919588,11,6,406
0.8288686302010285,11,6,445
0.833216456287985,11,6,485
0.82671809256662,11,6,525
0.8245675549322113,11,6,564
0.8310659186535766,11,6,604
0.833216456287985,11,6,643
0.8289153810191678,11,6,683
0.8245675549322111,11,6,722
0.8267414679756897,11,6,762
0.8245675549322111,11,6,802
0.8245675549322111,11,6,841
0.8245675549322111,11,6,881
0.8267414679756897,11,6,920
0.8245675549322111,11,6,960
0.8245675549322111,11,6,1000
0.8028284244974287,11,7,50
0.8137213651238897,11,7,89
0.8289153810191678,11,7,129
0.82671809256662,11,7,168
0.8267414679756897,11,7,208
0.8224170172978027,11,7,247
0.82671809256662,11,7,287
0.82671809256662,11,7,327
0.822393641888733,11,7,366
0.8245675549322113,11,7,406
0.822393641888733,11,7,445
0.8267414679756897,11,7,485
0.8289153810191678,11,7,525
0.8310892940626461,11,7,564
0.8289153810191678,11,7,604
0.8310892940626461,11,7,643
0.8289153810191678,11,7,683
0.8267414679756897,11,7,722
0.8289153810191678,11,7,762
0.8289153810191678,11,7,802
0.8288920056100982,11,7,841
0.8288920056100982,11,7,881
0.8288920056100982,11,7,920
0.82671809256662,11,7,960
0.82671809256662,11,7,1000
0.8202431042543245,11,8,50
0.8202431042543245,11,8,89
0.8288686302010285,11,8,129
0.8245675549322113,11,8,168
0.8245208041140721,11,8,208
0.8223702664796635,11,8,247
0.8288452547919588,11,8,287
0.8353436185133241,11,8,327
0.8331930808789154,11,8,366
0.8245441795231416,11,8,406
0.8310425432445067,11,8,445
0.833216456287985,11,8,485
0.8310425432445069,11,8,525
0.8331930808789154,11,8,564
0.8310425432445069,11,8,604
0.8310659186535766,11,8,643
0.8354137447405329,11,8,683
0.8332398316970547,11,8,722
0.8332632071061244,11,8,762
0.8332632071061244,11,8,802
0.8267414679756895,11,8,841
0.8289153810191678,11,8,881
0.8289153810191678,11,8,920
0.8267414679756895,11,8,960
0.8267414679756895,11,8,1000
0.7985741000467508,11,9,50
0.8072463768115942,11,9,89
0.8137447405329594,11,9,129
0.8137213651238897,11,9,168
0.8137213651238897,11,9,208
0.8115474520804113,11,9,247
0.8158719027582982,11,9,287
0.8180458158017766,11,9,327
0.8202197288452548,11,9,366
0.8266947171575503,11,9,406
0.8245441795231416,11,9,445
0.8201963534361851,11,9,485
0.8202431042543245,11,9,525
0.8202431042543245,11,9,564
0.8245675549322113,11,9,604
0.8202431042543246,11,9,643
0.8224170172978027,11,9,683
0.8202431042543245,11,9,722
0.8245909303412808,11,9,762
0.8245909303412808,11,9,802
0.8180691912108463,11,9,841
0.8202431042543245,11,9,881
0.8202431042543245,11,9,920
0.8202431042543246,11,9,960
0.8224170172978027,11,9,1000
0.8028284244974287,11,11,50
0.813627863487611,11,11,89
0.8158485273492285,11,11,129
0.8093969144460027,11,11,168
0.8202197288452547,11,11,208
0.8072463768115942,11,11,247
0.8115708274894811,11,11,287
0.81369798971482,11,11,327
0.8115240766713419,11,11,366
0.8158719027582982,11,11,406
0.809373539036933,11,11,445
0.81369798971482,11,11,485
0.8115474520804113,11,11,525
0.8180691912108463,11,11,564
0.8245441795231416,11,11,604
0.8245675549322111,11,11,643
0.8224170172978027,11,11,683
0.8202431042543245,11,11,722
0.8224170172978027,11,11,762
0.8224170172978027,11,11,802
0.8180691912108461,11,11,841
0.815895278167368,11,11,881
0.815895278167368,11,11,920
0.815895278167368,11,11,960
0.815895278167368,11,11,1000
,12,1,50
,12,1,89
,12,1,129
,12,1,168
,12,1,208
,12,1,247
,12,1,287
,12,1,327
,12,1,366
,12,1,406
,12,1,445
,12,1,485
,12,1,525
,12,1,564
,12,1,604
,12,1,643
,12,1,683
,12,1,722
,12,1,762
,12,1,802
,12,1,841
,12,1,881
,12,1,920
,12,1,960
,12,1,1000
0.8310425432445069,12,2,50
0.8483637213651238,12,2,89
0.8462131837307154,12,2,129
0.8418653576437588,12,2,168
0.8418419822346891,12,2,208
0.8439925198690977,12,2,247
0.8375409069658719,12,2,287
0.8461898083216457,12,2,327
0.8375409069658719,12,2,366
0.8396914446002806,12,2,406
0.846166432912576,12,2,445
0.850490883590463,12,2,485
0.8418419822346891,12,2,525
0.8440158952781674,12,2,564
0.8461898083216457,12,2,604
0.8418653576437588,12,2,643
0.8418653576437588,12,2,683
0.8440158952781674,12,2,722
0.8396914446002806,12,2,762
0.8418887330528285,12,2,802
0.8418887330528285,12,2,841
0.8418887330528285,12,2,881
0.8440392706872369,12,2,920
0.83971482000935,12,2,960
0.8440626460963067,12,2,1000
0.8354371201496026,12,3,50
0.8526881720430108,12,3,89
0.8483403459560541,12,3,129
0.8418419822346891,12,3,168
0.8439925198690977,12,3,208
0.8418419822346891,12,3,247
0.8396914446002806,12,3,287
0.8396914446002806,12,3,327
0.8396914446002806,12,3,366
0.8418653576437588,12,3,406
0.8440392706872369,12,3,445
0.8461898083216456,12,3,485
0.8462131837307153,12,3,525
0.8461898083216456,12,3,564
0.8483637213651238,12,3,604
0.8461898083216456,12,3,643
0.8440392706872369,12,3,683
0.8418653576437588,12,3,722
0.8440392706872369,12,3,762
0.8462131837307153,12,3,802
0.8440392706872369,12,3,841
0.8440392706872369,12,3,881
0.8462131837307154,12,3,920
0.8440392706872369,12,3,960
0.8462131837307154,12,3,1000
0.8570359981299674,12,4,50
0.8396213183730715,12,4,89
0.8504908835904628,12,4,129
0.8461430575035063,12,4,168
0.8396680691912108,12,4,208
0.8483169705469844,12,4,247
0.846166432912576,12,4,287
0.846166432912576,12,4,327
0.8440392706872369,12,4,366
0.8439925198690977,12,4,406
0.8440158952781674,12,4,445
0.8505142589995327,12,4,485
0.8483637213651238,12,4,525
0.8418419822346891,12,4,564
0.8440158952781674,12,4,604
0.8440158952781674,12,4,643
0.8440158952781674,12,4,683
0.8418419822346891,12,4,722
0.8418419822346891,12,4,762
0.8505376344086022,12,4,802
0.8461898083216457,12,4,841
0.8440158952781672,12,4,881
0.8440158952781674,12,4,920
0.8418419822346891,12,4,960
0.8418419822346891,12,4,1000
0.8310659186535766,12,5,50
0.837470780738663,12,5,89
0.8353436185133238,12,5,129
0.8331930808789154,12,5,168
0.8310191678354372,12,5,208
0.8353669939223936,12,5,247
0.8353436185133238,12,5,287
0.8310191678354372,12,5,327
0.8353669939223938,12,5,366
0.8331930808789154,12,5,406
0.8331930808789154,12,5,445
0.8288686302010285,12,5,485
0.8310191678354372,12,5,525
0.8331930808789153,12,5,564
0.833216456287985,12,5,604
0.8375175315568022,12,5,643
0.8375175315568022,12,5,683
0.8375175315568022,12,5,722
0.8418653576437588,12,5,762
0.8418887330528285,12,5,802
0.8375642823749416,12,5,841
0.8440626460963067,12,5,881
0.8397148200093503,12,5,920
0.8397148200093503,12,5,960
0.8397148200093503,12,5,1000
0.8332398316970547,12,6,50
0.8331697054698456,12,6,89
0.8310191678354372,12,6,129
0.8353202431042543,12,6,168
0.8244974287050024,12,6,208
0.8352968676951846,12,6,247
0.8309724170172978,12,6,287
0.8331697054698457,12,6,327
0.8331930808789154,12,6,366
0.8288686302010285,12,6,406
0.833216456287985,12,6,445
0.8332398316970547,12,6,485
0.8353903693314633,12,6,525
0.8375642823749416,12,6,564
0.8397381954184198,12,6,604
0.8375642823749416,12,6,643
0.833216456287985,12,6,683
0.8375642823749416,12,6,722
0.8375642823749416,12,6,762
0.8375876577840113,12,6,802
0.8375876577840113,12,6,841
0.8375876577840113,12,6,881
0.8354137447405329,12,6,920
0.8375876577840113,12,6,960
0.8375876577840113,12,6,1000
0.8179756895745676,12,7,50
0.8245208041140721,12,7,89
0.8310659186535764,12,7,129
0.833216456287985,12,7,168
0.8332398316970547,12,7,208
0.8266947171575503,12,7,247
0.8288686302010285,12,7,287
0.8353903693314633,12,7,327
0.8375642823749416,12,7,366
0.8353903693314633,12,7,406
0.8375642823749416,12,7,445
0.8397381954184198,12,7,485
0.8354137447405329,12,7,525
0.8375876577840113,12,7,564
0.8354137447405329,12,7,604
0.8332398316970547,12,7,643
0.8354137447405329,12,7,683
0.8332398316970547,12,7,722
0.8375876577840113,12,7,762
0.8397615708274895,12,7,802
0.8332398316970547,12,7,841
0.8354137447405329,12,7,881
0.833216456287985,12,7,920
0.8332398316970547,12,7,960
0.8310659186535764,12,7,1000
0.8267414679756897,12,8,50
0.8288452547919588,12,8,89
0.8310425432445069,12,8,129
0.8223702664796635,12,8,168
0.8288686302010285,12,8,208
0.8266947171575503,12,8,247
0.8288452547919588,12,8,287
0.8288686302010284,12,8,327
0.8288686302010285,12,8,366
0.8288686302010285,12,8,406
0.8310425432445069,12,8,445
0.833216456287985,12,8,485
0.833216456287985,12,8,525
0.833216456287985,12,8,564
0.8353903693314633,12,8,604
0.8310425432445069,12,8,643
0.8332398316970547,12,8,683
0.835413744740533,12,8,722
0.835413744740533,12,8,762
0.8332398316970547,12,8,802
0.8310659186535764,12,8,841
0.8332398316970547,12,8,881
0.8310659186535766,12,8,920
0.8288920056100981,12,8,960
0.8310659186535764,12,8,1000
0.8007480130902291,12,9,50
0.815825151940159,12,9,89
0.8180224403927069,12,9,129
0.8201963534361851,12,9,168
0.8201963534361851,12,9,208
0.8158485273492285,12,9,247
0.8223702664796633,12,9,287
0.8245208041140721,12,9,327
0.8310659186535766,12,9,366
0.8288920056100981,12,9,406
0.835413744740533,12,9,445
0.82671809256662,12,9,485
0.8288920056100981,12,9,525
0.8310892940626461,12,9,564
0.8310892940626461,12,9,604
0.8267648433847592,12,9,643
0.8289387564282376,12,9,683
0.8289387564282376,12,9,722
0.8354137447405329,12,9,762
0.8289153810191678,12,9,802
0.8310659186535766,12,9,841
0.8288920056100981,12,9,881
0.8288686302010284,12,9,920
0.8288920056100981,12,9,960
0.8332398316970547,12,9,1000
0.8115474520804113,12,11,50
0.8158251519401588,12,11,89
0.805072463768116,12,11,129
0.8180224403927069,12,11,168
0.8223702664796633,12,11,208
0.8137213651238897,12,11,247
0.8180224403927069,12,11,287
0.8223702664796635,12,11,327
0.8179990649836372,12,11,366
0.8158719027582982,12,11,406
0.8201963534361851,12,11,445
0.8223468910705938,12,11,485
0.8158719027582982,12,11,525
0.8180458158017766,12,11,564
0.8245441795231416,12,11,604
0.8288686302010284,12,11,643
0.82671809256662,12,11,683
0.82671809256662,12,11,722
0.82671809256662,12,11,762
0.82671809256662,12,11,802
0.8245441795231419,12,11,841
0.82671809256662,12,11,881
0.822393641888733,12,11,920
0.8245675549322111,12,11,960
0.822393641888733,12,11,1000
,13,1,50
,13,1,89
,13,1,129
,13,1,168
,13,1,208
,13,1,247
,13,1,287
,13,1,327
,13,1,366
,13,1,406
,13,1,445
,13,1,485
,13,1,525
,13,1,564
,13,1,604
,13,1,643
,13,1,683
,13,1,722
,13,1,762
,13,1,802
,13,1,841
,13,1,881
,13,1,920
,13,1,960
,13,1,1000
0.8376110331930808,13,2,50
0.8591631603553063,13,2,89
0.8570359981299672,13,2,129
0.8483637213651238,13,2,168
0.8526881720430108,13,2,208
0.8526647966339411,13,2,247
0.8483637213651238,13,2,287
0.8483637213651238,13,2,327
0.8418887330528285,13,2,366
0.83971482000935,13,2,406
0.8439925198690977,13,2,445
0.8418419822346891,13,2,485
0.8396914446002806,13,2,525
0.8440158952781672,13,2,564
0.8396914446002806,13,2,604
0.8397148200093503,13,2,643
0.8440158952781674,13,2,683
0.8440158952781674,13,2,722
0.8440392706872369,13,2,762
0.8483870967741935,13,2,802
0.8462131837307153,13,2,841
0.8462131837307153,13,2,881
0.8483870967741935,13,2,920
0.8483870967741935,13,2,960
0.8483870967741935,13,2,1000
0.844109396914446,13,3,50
0.8527816736792895,13,3,89
0.8484104721832632,13,3,129
0.8375175315568022,13,3,168
0.8396914446002806,13,3,208
0.8418887330528284,13,3,247
0.8440158952781674,13,3,287
0.8418653576437588,13,3,327
0.8440392706872372,13,3,366
0.8418653576437588,13,3,406
0.835413744740533,13,3,445
0.8418887330528285,13,3,485
0.8375642823749416,13,3,525
0.8440392706872369,13,3,564
0.8483637213651238,13,3,604
0.8505376344086022,13,3,643
0.8483870967741935,13,3,683
0.8462131837307153,13,3,722
0.8462131837307153,13,3,762
0.8505610098176719,13,3,802
0.8462131837307153,13,3,841
0.8462131837307154,13,3,881
0.85273492286115,13,3,920
0.8505610098176717,13,3,960
0.85273492286115,13,3,1000
0.8527115474520806,13,4,50
0.8526647966339411,13,4,89
0.8527115474520806,13,4,129
0.8439925198690977,13,4,168
0.8397381954184198,13,4,208
0.8418419822346891,13,4,247
0.850490883590463,13,4,287
0.8439925198690977,13,4,327
0.846166432912576,13,4,366
0.8505142589995325,13,4,406
0.8483403459560543,13,4,445
0.8505142589995325,13,4,485
0.8505142589995325,13,4,525
0.8396914446002806,13,4,564
0.8440158952781674,13,4,604
0.8440158952781674,13,4,643
0.8418653576437588,13,4,683
0.8418653576437588,13,4,722
0.8462131837307153,13,4,762
0.8462131837307153,13,4,802
0.8418653576437588,13,4,841
0.8418653576437588,13,4,881
0.8418653576437588,13,4,920
0.8396914446002806,13,4,960
0.8418653576437588,13,4,1000
0.8267648433847592,13,5,50
0.8310425432445067,13,5,89
0.8396680691912108,13,5,129
0.8396914446002806,13,5,168
0.8440158952781674,13,5,208
0.8396680691912108,13,5,247
0.8375175315568022,13,5,287
0.8353436185133241,13,5,327
0.8353669939223938,13,5,366
0.8331930808789154,13,5,406
0.8353669939223936,13,5,445
0.83971482000935,13,5,485
0.8375175315568022,13,5,525
0.8397148200093503,13,5,564
0.8375175315568022,13,5,604
0.8353669939223936,13,5,643
0.8331930808789154,13,5,683
0.8310425432445069,13,5,722
0.8288686302010285,13,5,762
0.8397381954184198,13,5,802
0.8353903693314635,13,5,841
0.8375642823749416,13,5,881
0.8353903693314633,13,5,920
0.8353903693314633,13,5,960
0.8375642823749416,13,5,1000
0.8310892940626461,13,6,50
0.8310659186535766,13,6,89
0.8375175315568022,13,6,129
0.8331930808789154,13,6,168
0.833216456287985,13,6,208
0.8354137447405329,13,6,247
0.83971482000935,13,6,287
0.8397381954184198,13,6,327
0.835413744740533,13,6,366
0.8375642823749416,13,6,406
0.8375642823749416,13,6,445
0.8419121084618981,13,6,485
0.8375642823749416,13,6,525
0.8397381954184198,13,6,564
0.8397381954184198,13,6,604
0.8375642823749416,13,6,643
0.8419121084618981,13,6,683
0.8397381954184198,13,6,722
0.8397381954184198,13,6,762
0.8397381954184198,13,6,802
0.8397381954184198,13,6,841
0.8375642823749416,13,6,881
0.8375642823749416,13,6,920
0.8375642823749416,13,6,960
0.8375642823749416,13,6,1000
0.8136512388966807,13,7,50
0.8245208041140719,13,7,89
0.8309957924263675,13,7,129
0.8331930808789154,13,7,168
0.8310425432445069,13,7,208
0.8288686302010285,13,7,247
0.8332164562879851,13,7,287
0.8353903693314633,13,7,327
0.8353903693314633,13,7,366
0.8332398316970547,13,7,406
0.8397381954184198,13,7,445
0.8375876577840111,13,7,485
0.8397615708274895,13,7,525
0.8397615708274895,13,7,564
0.835413744740533,13,7,604
0.8332398316970547,13,7,643
0.8354137447405329,13,7,683
0.8375876577840113,13,7,722
0.8375876577840113,13,7,762
0.8375876577840113,13,7,802
0.8354137447405329,13,7,841
0.8332398316970547,13,7,881
0.8353903693314633,13,7,920
0.8375642823749416,13,7,960
0.833216456287985,13,7,1000
0.8116175783076205,13,8,50
0.8288452547919588,13,8,89
0.8331930808789154,13,8,129
0.8375409069658719,13,8,168
0.8353903693314633,13,8,208
0.8353903693314633,13,8,247
0.8375175315568022,13,8,287
0.8375409069658719,13,8,327
0.8375409069658719,13,8,366
0.8375642823749416,13,8,406
0.8375642823749416,13,8,445
0.8375642823749416,13,8,485
0.8353903693314633,13,8,525
0.8353903693314633,13,8,564
0.8353903693314633,13,8,604
0.8332398316970547,13,8,643
0.8332398316970547,13,8,683
0.8332398316970547,13,8,722
0.8332398316970547,13,8,762
0.8332398316970547,13,8,802
0.8310659186535766,13,8,841
0.8310659186535766,13,8,881
0.8310659186535766,13,8,920
0.8332398316970547,13,8,960
0.8310659186535764,13,8,1000
0.8071996259934549,13,9,50
0.8093735390369332,13,9,89
0.8180224403927069,13,9,129
0.8202197288452547,13,9,168
0.8245208041140721,13,9,208
0.8245208041140721,13,9,247
0.8288686302010285,13,9,287
0.8288686302010285,13,9,327
0.833216456287985,13,9,366
0.8310425432445069,13,9,406
0.8332398316970547,13,9,445
0.8332398316970547,13,9,485
0.8310659186535766,13,9,525
0.8332632071061244,13,9,564
0.8310892940626461,13,9,604
0.8332398316970547,13,9,643
0.8354137447405329,13,9,683
0.8354137447405329,13,9,722
0.8354137447405329,13,9,762
0.8267414679756897,13,9,802
0.8267414679756897,13,9,841
0.8310425432445069,13,9,881
0.8310425432445069,13,9,920
0.833216456287985,13,9,960
0.8310425432445069,13,9,1000
0.8093735390369332,13,11,50
0.8201729780271154,13,11,89
0.8180925666199158,13,11,129
0.822393641888733,13,11,168
0.8245441795231416,13,11,208
0.8202197288452547,13,11,247
0.8288686302010285,13,11,287
0.8266947171575503,13,11,327
0.8223468910705938,13,11,366
0.8266947171575503,13,11,406
0.8266947171575503,13,11,445
0.8288686302010285,13,11,485
0.8202197288452548,13,11,525
0.8245675549322111,13,11,564
0.8288920056100981,13,11,604
0.8288920056100981,13,11,643
0.8288920056100981,13,11,683
0.8245675549322111,13,11,722
0.8288920056100981,13,11,762
0.8288686302010284,13,11,802
0.82671809256662,13,11,841
0.8245441795231416,13,11,881
0.8245441795231416,13,11,920
0.822393641888733,13,11,960
0.8202197288452548,13,11,1000
,15,1,50
,15,1,89
,15,1,129
,15,1,168
,15,1,208
,15,1,247
,15,1,287
,15,1,327
,15,1,366
,15,1,406
,15,1,445
,15,1,485
,15,1,525
,15,1,564
,15,1,604
,15,1,643
,15,1,683
,15,1,722
,15,1,762
,15,1,802
,15,1,841
,15,1,881
,15,1,920
,15,1,960
,15,1,1000
0.8397381954184198,15,2,50
0.8548620850864891,15,2,89
0.8570827489481067,15,2,129
0.8527115474520806,15,2,168
0.8548854604955587,15,2,208
0.8526881720430108,15,2,247
0.8505142589995325,15,2,287
0.8483403459560541,15,2,327
0.8483637213651238,15,2,366
0.8461898083216457,15,2,406
0.8440392706872369,15,2,445
0.8440392706872369,15,2,485
0.8418653576437588,15,2,525
0.8396914446002806,15,2,564
0.8418653576437588,15,2,604
0.8462131837307153,15,2,643
0.8418887330528284,15,2,683
0.8375409069658719,15,2,722
0.83971482000935,15,2,762
0.8440626460963067,15,2,802
0.8440626460963067,15,2,841
0.8440626460963067,15,2,881
0.8440626460963067,15,2,920
0.8418887330528285,15,2,960
0.83971482000935,15,2,1000
0.846236559139785,15,3,50
0.8613838242169237,15,3,89
0.8613604488078541,15,3,129
0.8526414212248714,15,3,168
0.850490883590463,15,3,208
0.8483403459560541,15,3,247
0.8439925198690977,15,3,287
0.8418186068256194,15,3,327
0.8505142589995325,15,3,366
0.8461898083216457,15,3,406
0.8418653576437588,15,3,445
0.8440392706872372,15,3,485
0.8418653576437588,15,3,525
0.8418653576437588,15,3,564
0.8440392706872372,15,3,604
0.8505376344086022,15,3,643
0.8418653576437588,15,3,683
0.8440392706872372,15,3,722
0.8440626460963067,15,3,762
0.846236559139785,15,3,802
0.8419121084618981,15,3,841
0.8440626460963067,15,3,881
0.8440860215053764,15,3,920
0.8440626460963067,15,3,960
0.8419121084618981,15,3,1000
0.8483637213651238,15,4,50
0.8592099111734456,15,4,89
0.8548854604955587,15,4,129
0.8440392706872372,15,4,168
0.8440626460963067,15,4,208
0.8440158952781674,15,4,247
0.8461196820944366,15,4,287
0.8440158952781674,15,4,327
0.8461898083216457,15,4,366
0.8483637213651238,15,4,406
0.8483637213651238,15,4,445
0.8461898083216457,15,4,485
0.8440392706872372,15,4,525
0.8462131837307153,15,4,564
0.8483870967741935,15,4,604
0.8462131837307153,15,4,643
0.8483870967741935,15,4,683
0.8397148200093503,15,4,722
0.8440860215053764,15,4,762
0.8440860215053764,15,4,802
0.846236559139785,15,4,841
0.8484104721832632,15,4,881
0.8484104721832632,15,4,920
0.846236559139785,15,4,960
0.8484104721832632,15,4,1000
0.8376110331930808,15,5,50
0.8505610098176719,15,5,89
0.8505376344086022,15,5,129
0.8440626460963067,15,5,168
0.8418653576437588,15,5,208
0.83971482000935,15,5,247
0.8397148200093503,15,5,287
0.8440626460963067,15,5,327
0.8440626460963067,15,5,366
0.8440626460963067,15,5,406
0.8418887330528285,15,5,445
0.8419121084618981,15,5,485
0.8440626460963067,15,5,525
0.8418887330528285,15,5,564
0.8440626460963067,15,5,604
0.8418887330528284,15,5,643
0.846236559139785,15,5,683
0.8397381954184198,15,5,722
0.8419121084618981,15,5,762
0.8419121084618981,15,5,802
0.8440626460963067,15,5,841
0.8419121084618981,15,5,881
0.8440626460963067,15,5,920
0.8440860215053764,15,5,960
0.8440860215053764,15,5,1000
0.8267414679756897,15,6,50
0.8419121084618981,15,6,89
0.8505142589995325,15,6,129
0.8375642823749416,15,6,168
0.8354137447405329,15,6,208
0.8354371201496026,15,6,247
0.8397615708274895,15,6,287
0.8419121084618981,15,6,327
0.8397615708274895,15,6,366
0.8440860215053764,15,6,406
0.8440860215053764,15,6,445
0.8440860215053764,15,6,485
0.8419121084618982,15,6,525
0.8505843852267414,15,6,564
0.8484104721832633,15,6,604
0.8440860215053764,15,6,643
0.8440860215053764,15,6,683
0.8462599345488545,15,6,722
0.8440860215053764,15,6,762
0.8397615708274895,15,6,802
0.8419121084618981,15,6,841
0.8375876577840113,15,6,881
0.8397615708274895,15,6,920
0.8375876577840111,15,6,960
0.8397381954184198,15,6,1000
0.8288452547919588,15,7,50
0.8289153810191678,15,7,89
0.8419354838709678,15,7,129
0.8310659186535766,15,7,168
0.8353669939223938,15,7,208
0.8332164562879851,15,7,247
0.8375409069658719,15,7,287
0.8353669939223938,15,7,327
0.8397148200093503,15,7,366
0.8397148200093503,15,7,406
0.8418887330528285,15,7,445
0.8440626460963067,15,7,485
0.8462365591397848,15,7,525
0.8462365591397848,15,7,564
0.8440626460963067,15,7,604
0.8440626460963067,15,7,643
0.8484104721832632,15,7,683
0.846236559139785,15,7,722
0.8440626460963067,15,7,762
0.846236559139785,15,7,802
0.8397148200093503,15,7,841
0.83971482000935,15,7,881
0.8418887330528285,15,7,920
0.8375409069658719,15,7,960
0.8375409069658719,15,7,1000
0.8267414679756897,15,8,50
0.8353436185133241,15,8,89
0.8375642823749416,15,8,129
0.8288686302010285,15,8,168
0.833216456287985,15,8,208
0.8353903693314633,15,8,247
0.8397148200093503,15,8,287
0.83973819541842,15,8,327
0.8397148200093503,15,8,366
0.8375642823749416,15,8,406
0.8375409069658719,15,8,445
0.8397148200093503,15,8,485
0.8353903693314633,15,8,525
